row_number,geonames_admin1_code,geonames_admin1_ascii_name
49362,RU.79,Republic of Tyva
49398,TR.65,Van
49402,MY.02,Kedah
49770,AR.16,Rio Negro
50206,PT.05,Braganca
50363,SE.25,Vaestmanland
50760,GH.10,Upper East
50824,GH.04,Central
50879,SI.C2,Slovenj Gradec
51102,IN.31,Mizoram
51106,PT.10,Madeira
51965,NG.42,Osun
52073,AR.22,Santiago del Estero
52201,KR.14,Gyeongsangbuk-do
52750,IR.22,Bushehr
52797,LK.38,Northern Province
53285,BG.64,Vratsa
53335,BD.82,Khulna
53404,CY.06,Pafos
53485,SE.24,Vaesternorrland
53803,NG.21,Akwa Ibom
53894,GU.MA,Mangilao
54078,PL.80,Subcarpathian
54396,SA.19,Tabuk
54599,DZ.52,Souk Ahras
54778,UA.22,Ternopil
55471,AR.10,Jujuy
55874,IR.25,Semnan
56231,KZ.04,Aqtoebe
56772,DZ.33,Tebessa
57121,NP.WR,Western Region
57176,KE.26,Kisumu
57901,RU.78,Tyumen' Oblast
58179,AL.50,Tirana
58186,OM.01,Ad Dakhiliyah
58404,SA.16,Najran
58425,VN.23,Lam Dong
58742,SS.11550565,Wau
59417,AR.14,Misiones
59815,SK.05,Presovsky kraj
60438,KR.06,Gangwon-do
61012,AT.08,Vorarlberg
61115,GP.GP,Guadeloupe
61288,IR.41,Khorasan-e Jonubi
61433,MR.08,Dakhlet Nouadhibou
62261,BG.53,Ruse
62466,UZ.01,Andijon
62539,TZ.20,Pemba South
62847,AE.06,Sharjah
62850,AE.02,Ajman
63252,HR.07,Krapinsko-Zagorska
63507,TH.53,Nakhon Pathom
63586,MK.98,Shtip
63620,HR.03,Dubrovacko-Neretvanska
63925,NG.56,Nassarawa
64249,KG.08,Osh
64489,EG.16,Aswan
64890,IR.44,Alborz
65458,BD.H,Mymensingh Division
65507,LY.69,Banghazi
65753,CI.87,Savanes
65884,MX.01,Aguascalientes
66322,TH.24,Maha Sarakham
66327,NZ.F9,Taranaki
66630,FI.09,South Karelia
67349,TH.62,Phuket
67578,YE.16,Sanaa
67646,PK.02,Balochistan
67710,CO.09,Cauca
67743,SD.38,Al Jazirah
67753,PE.13,La Libertad
67754,SI.D7,Velenje
67862,RO.05,Bihor
68212,SI.50,Koper-Capodistria
68506,CL.11,Maule Region
68641,FI.12,North Karelia
68740,PK.06,Azad Kashmir
68809,TR.40,Kirsehir
68971,CL.16,Arica y Parinacota
69358,EC.19,Tungurahua
69435,CO.21,Norte de Santander
70142,BM.06,Saint George
70643,AR.04,Chubut
70970,MA.05,Beni Mellal-Khenifra
71244,AT.02,Carinthia
71589,PH.11,Davao
71590,TR.85,Zonguldak
71591,MM.11,Shan
71673,FR.94,Corsica
71752,SY.08,Rif-dimashq
72575,IQ.18,Salah ad Din
73661,KW.05,Muhafazat al Jahra'
73702,TT.10,San Fernando
73925,VN.85,Thai Nguyen
73970,HU.08,Fejer
74023,TR.84,Kars
75543,LK.32,North Western
75784,RU.28,Karelia
75869,AE.03,Dubai
75929,HN.08,Francisco Morazan
76088,BF.09,Hauts-Bassins
76522,UZ.02,Bukhara
76614,HK.NTP,Tai Po
76774,BY.03,Grodnenskaya
76846,MX.23,Quintana Roo
76893,TH.42,Samut Prakan
77035,TH.27,Nakhon Ratchasima
78578,RU.01,Adygeya Republic
79150,KZ.1537272,Shymkent
79211,RO.09,Brasov
80305,TH.56,Phetchaburi
81195,RU.64,Sakhalin Oblast
81432,BR.01,Acre
81434,TH.03,Chiang Rai
81629,CL.15,Tarapaca
82677,TH.52,Ratchaburi
83425,DO.34,Nacional
84402,SI.I5,Litija
84523,CN.20,Inner Mongolia
84999,TR.15,Burdur
85131,RU.69,Smolensk
85610,MX.12,Guerrero
86050,AM.07,Shirak
87563,TZ.02,Pwani
88108,TR.12,Bingoel
88237,MM.18,Nay Pyi Taw
88287,TR.46,Kahramanmaras
88605,PL.76,Lubusz
88648,IR.38,Qazvin
89499,RU.56,Orel Oblast
89547,LY.75,Sabha
89760,CO.01,Amazonas
89809,PR.041,Cidra
89970,PS.GZ,Gaza Strip
90208,DZ.55,Tipaza
90282,CN.21,Ningxia Hui Autonomous Region
90557,LT.61,Siauliai
90600,RU.09,Belgorod Oblast
90724,TR.52,Ordu
91879,BY.02,Gomel Oblast
92525,TZ.18,Tanga
92715,GH.05,Eastern
92941,KE.20,Kakamega
93148,DO.24,San Pedro de Macoris
93253,LI.09,Triesen
93685,SK.04,Nitriansky kraj
94792,FO.ST,Streymoy
94858,BD.85,Barisal
95111,TH.06,Lampang
96103,TR.04,Agri
96263,TN.39,Manouba
97469,CH.BL,Basel-Landschaft
97681,PH.05,Bicol
97971,SJ.21,Svalbard
98179,RO.33,Sibiu
98399,ET.53,Tigray
98750,JP.27,Nagasaki
98793,TR.08,Artvin
99114,NO.13,Ostfold
101040,JE.3237530,Trinity
101564,ID.24,West Sumatra
101986,UA.24,Volyn
102539,RU.32,Khanty-Mansia
102668,KR.21,Ulsan
102671,CU.09,Granma
102724,DZ.09,Oran
103615,EG.20,Damietta
104728,AZ.20,Ganja City
105668,CL.08,O'Higgins Region
105970,SA.05,Al Madinah al Munawwarah
106010,CH.VS,Valais
106576,PH.14,Autonomous Region in Muslim Mindanao
106577,LB.05,Mont-Liban
106579,LB.09,Liban-Nord
107963,PG.09,Eastern Highlands
109234,CU.08,Cienfuegos
109926,CO.20,Narino
110128,FI.04,Satakunta
110488,HK.NTW,Tsuen Wan
110903,TH.31,Narathiwat
112585,TR.37,Kastamonu
113224,PH.12,Soccsksargen
114156,BO.08,Santa Cruz
115100,MD.58,Transnistria
115225,BW.01,Central
115711,RU.62,Ryazan Oblast
115955,RU.52,Novgorod Oblast
116778,CL.10,Region of Magallanes
117320,KZ.12,Karaganda
117539,LT.58,Klaipeda County
117954,TR.57,Sinop
117982,PR.063,Gurabo
118220,MG.51,Atsimo-Andrefana
119173,CO.28,Tolima
119396,RO.37,Tulcea
119986,TR.89,Karabuk
120394,ID.42,North Kalimantan
120856,TR.24,Erzincan
120978,PH.01,Ilocos
121290,EG.04,Faiyum
123387,SE.22,Vaermland
123545,HR.06,Koprivnicko-Krizevacka
123709,UA.18,Poltava
124057,IS.40,Northeast
124227,RU.03,Altai
124331,DZ.24,Jijel
124533,LY.63,Al Jabal al Akhdar
124536,NO.17,Telemark
124800,ET.54,SNNPR
124959,PE.06,Cajamarca
125152,EG.19,Port Said
126832,RO.04,Bacau
127116,CL.05,Atacama
127438,TR.66,Yozgat
127748,IT.11,Molise
128352,NG.48,Ondo
128930,FI.07,Paijanne Tavastia
129494,SY.02,Latakia
130322,FI.14,Southern Ostrobothnia
130537,IQ.08,Dahuk
131969,CH.TG,Thurgau
132138,UA.01,Cherkasy
134571,CH.GR,Grisons
134594,TR.02,Adiyaman
134833,MM.17,Rangoon
135075,MC.00,Commune de Monaco
135459,IE.U,Ulster
135975,TG.23,Kara
136671,DZ.50,Ouargla
136828,ID.17,West Nusa Tenggara
136976,GR.ESYE22,Ionian Islands
137249,CU.MA,Mayabeque
138310,TR.50,Nevsehir
138324,SA.08,Al-Qassim
138819,CO.04,Atlantico
139585,IR.23,Lorestan
140240,EC.12,Loja
140846,BR.25,Roraima
141096,CA.14,Nunavut
142178,SL.04,Western Area
142724,IN.26,Tripura
143099,BZ.02,Cayo
143957,CU.12,Holguin
144109,KZ.13,Qostanay
144178,AE.05,Ra's al Khaymah
147888,NZ.F8,Southland
148475,NO.20,Vestfold
149518,UG.N,Northern Region
150137,ID.05,Jambi
150314,NL.16,Flevoland
150469,TH.41,Phayao
151582,NZ.F2,Hawke's Bay
151634,SK.06,Trenciansky kraj
151905,NL.01,Drenthe
152232,LS.14,Maseru
153357,MY.05,Negeri Sembilan
154748,PR.097,Mayagueez
155441,BD.86,Sylhet
155553,MY.17,Putrajaya
156188,SI.H4,Jesenice
156404,CI.81,Lacs
156543,CM.07,North-West
156763,HR.05,Karlovacka
157967,VE.06,Bolivar
158268,ZW.02,Midlands
158840,RO.03,Arges
158921,GR.ESYE24,Central Greece
160644,DZ.25,Laghouat
162087,TH.76,Changwat Udon Thani
162626,RO.16,Dambovita
164561,RO.39,Valcea
165088,AT.01,Burgenland
166456,BG.39,Burgas
166688,MM.08,Mandalay
167482,CO.38,Magdalena
168216,PY.22,Asuncion
168721,SI.84,Nova Gorica
170504,TH.47,Rayong
172731,GR.ESYE25,Peloponnese
172977,IR.43,North Khorasan
173006,LI.07,Schaan
173037,BF.01,Boucle du Mouhoun
173503,JM.17,Kingston
173821,CR.06,Limon
174496,GL.07,Sermersooq
176682,HU.01,Bacs-Kiskun
177674,GA.03,Moyen-Ogooue
178235,LV.07,Daugavpils municipality
178326,FI.19,Lapland
179426,ID.39,West Papua
180233,NA.39,Otjozondjupa
181805,UA.16,Mykolaiv
182814,OM.08,Dhofar
185001,SI.01,Ajdovscina
185737,GH.06,Northern
186617,CZ.89,Ustecky kraj
187646,KE.27,Kitui
188848,SI.11,Celje
190029,BH.15,Muharraq
192868,TR.19,Corum
193334,KZ.11,Pavlodar Region
195462,FJ.01,Central
199472,KE.12,Bungoma
199657,DZ.23,Guelma
199729,EG.15,Suez
201360,NG.26,Benue
203805,ID.33,Banten
208473,FM.02,Pohnpei
209434,AF.13,Kabul
210780,CD.14,Haut-Katanga
212616,GD.03,Saint George
214028,EC.11,Imbabura
214962,SC.05,Anse Royale
217149,CO.12,Cordoba
218595,GH.08,Volta
223632,EC.14,Manabi
227172,MZ.02,Gaza
227390,TR.75,Aksaray
228930,ZM.02,Central
228947,TH.48,Chanthaburi
229196,ZW.08,Masvingo
230316,PH.08,Eastern Visayas
233368,BY.06,Mogilev
233624,ID.11,West Kalimantan
234520,RU.19,Ingushetiya Republic
238598,ID.18,East Nusa Tenggara
238629,JM.08,St. Andrew
238855,RO.30,Prahova
239898,TR.93,Duzce
241286,LR.14,Montserrado
243052,UZ.15,Jizzax
245399,KW.07,Al Farwaniyah
245542,CO.19,Meta
246956,NO.15,Sogn og Fjordane
250702,LB.06,South Governorate
251957,KN.03,Saint George Basseterre
252303,DJ.07,Djibouti
253883,TR.39,Kirklareli
255024,PE.14,Lambayeque
258092,ID.13,Central Kalimantan
260848,PG.17,West New Britain
262876,ET.51,Oromiya
264803,PH.15,Cordillera
269275,SM.07,San Marino
269357,KE.35,Meru
270246,VE.07,Carabobo
271243,IQ.01,Anbar
271504,SI.J7,Novo Mesto
276490,NA.29,Erongo
277061,DZ.21,Bouira
277078,CI.96,Sassandra-Marahoue
278496,CR.04,Heredia
279194,KE.41,Narok
280298,NO.05,Finnmark
285053,KZ.01,Almaty Oblysy
285150,IN.20,Nagaland
285307,SE.07,Jaemtland
289421,TZ.09,Mbeya
290683,GW.11,Bissau
295673,UA.25,Transcarpathia
301299,JO.19,Ma'an
301709,KE.25,Kisii
303539,VE.05,Barinas
304792,UA.11,Republic of Crimea
305421,ID.15,Lampung
306639,IR.39,Qom
306927,ID.32,South Sumatra
308741,BR.03,Amapa
311141,KZ.06,Atyrau
311161,IT.19,Aosta Valley
311816,KE.22,Kiambu
315873,AR.20,Santa Cruz
316623,RU.60,Pskov Oblast
318076,TR.82,Cankiri
319271,MA.02,Oriental
320967,TR.87,Bartin
326210,TN.06,Jundubah
328671,MU.18,Port Louis
338330,PE.16,Loreto
344217,TR.91,Osmaniye
344405,HU.03,Bekes
344862,MG.31,Atsinanana
345201,CO.36,Boyaca
351373,SR.16,Paramaribo
355567,VN.78,Da Nang
356895,MG.71,Diana
360196,SS.11550569,Juba
361518,HU.11,Heves
364702,MK.06,Bitola
364802,TR.80,Sirnak
365312,AL.49,Shkoder
366118,CO.27,Sucre
367043,HR.04,Istria
369999,YE.04,Hadramawt
374826,PT.23,Azores
378691,FJ.05,Western
381150,NO.02,Aust-Agder
391612,PR.031,Carolina
396134,CH.ZG,Zug
397439,YE.25,Ta'izz
404229,AR.02,Catamarca
407931,CM.12,Far North
412506,MY.08,Perlis
416570,KZ.07,Batys Qazaqstan
417673,CI.90,Vallee du Bandama
419139,UA.27,Zhytomyr
431833,NL.02,Friesland
434226,TN.30,Gafsa
435067,SC.26,English River
435287,GH.09,Western
444218,DZ.10,Saida
447228,ZW.09,Bulawayo
447593,CO.16,Huila
447870,TZ.27,Manyara
449867,VE.14,Merida
450514,SD.61,Central Darfur
458315,SO.02,Banaadir
468743,UA.10,Kirovohrad
469366,TR.69,Gumushane
470421,WS.10,Tuamasaga
470912,YE.02,Aden
472312,TR.49,Mus
477530,RU.93,Transbaikal Territory
479050,JO.12,Tafielah
482509,TT.05,Port of Spain
483673,GU.AN,Hagatna
485747,PE.10,Huanuco
485872,OM.11,Al Batinah North
486933,CH.SH,Schaffhausen
511157,TR.78,Karaman
514028,IN.01,Andaman and Nicobar
519985,SI.80,Murska Sobota
520503,CD.30,Tshopo
536108,LY.82,Al Marqab
537304,ID.37,Riau
547773,SI.44,Kanal
550986,PR.125,San German
555555,EC.08,El Oro
560495,RO.26,Mehedinti
560545,CA.13,Northwest Territories
565652,NZ.F6,Northland
571549,NG.43,Taraba
573205,GR.ESYE13,West Macedonia
578929,BJ.10,Borgou
579963,TR.92,Yalova
593167,KE.36,Migori
604078,IQ.11,Arbil
607214,UA.20,Sevastopol City
609222,GY.12,Demerara-Mahaica
649708,DZ.18,Bejaia
655316,SI.45,Kidricevo
659314,NL.10,Zeeland
665324,PE.21,Puno
669691,EC.23,Napo
684929,FI.16,Central Ostrobothnia
696077,TN.27,Bin 'Arus
703772,KG.07,Issyk-Kul
734217,UZ.12,Surxondaryo
745811,DZ.43,El Oued
747654,ID.03,Bengkulu
749245,TD.12,Ouadai
753478,LK.37,Eastern Province
758133,HU.18,Szabolcs-Szatmar-Bereg
774574,AG.04,Saint John
776718,HR.02,Slavonski Brod-Posavina
779798,UZ.03,Fergana
785112,BJ.09,Atlantique
786622,TR.90,Kilis
804007,RU.16,Chuvashia
805045,PT.13,Leiria
825020,TN.03,Kairouan
825611,BJ.16,Oueme
831920,UZ.07,Navoiy
839001,TR.11,Bilecik
874370,KY.10375968,West Bay
879340,SI.J4,Miklavz na Dravskem Polju
880361,PF.01,Iles du Vent
893524,HR.20,Zagrebacka
914479,PT.22,Viseu
916512,AR.12,La Rioja
921020,OM.09,Az Zahirah
924353,BS.23,New Providence
928532,JO.23,Madaba
959734,PY.01,Alto Parana
962259,IR.11,Hormozgan
974438,IQ.10,Diyala
981880,FI.18,Kainuu
1004740,AR.09,Formosa
1011188,SE.05,Gotland
1021007,CU.03,Matanzas
1028255,CO.08,Caqueta
1030308,ZA.08,Northern Cape
1033365,SI.K7,Ptuj
1034548,DZ.48,Mila
1047081,HU.22,Vas
1055787,TH.50,Kanchanaburi
1066835,TN.17,Bajah
1070870,RO.19,Gorj
1084614,ZA.07,Mpumalanga
1088638,EG.27,North Sinai
1097135,ID.36,Papua
1100750,PT.16,Portalegre
1100927,PT.20,Viana do Castelo
1106215,KE.11,Bomet
1110468,ML.07,Koulikoro
1114099,CZ.80,Vysocina
1117601,AO.20,Luanda
1121512,KR.22,Sejong-si
1162162,KE.23,Kilifi
1197662,MS.01,Saint Anthony
1219838,TR.76,Batman
1235785,LY.76,Surt
1236935,PW.06,Koror
1245213,LU.GR,Grevenmacher
1252839,TZ.04,Iringa
1268350,TR.77,Bayburt
1295279,EC.17,Pastaza
1295842,CL.02,Aysen
1316204,ET.52,Somali
1342934,VN.54,Khanh Hoa
1346861,CY.02,Keryneia
1356707,SD.56,North Kordofan
1381183,SE.18,Soedermanland
1382684,AL.43,Elbasan
1384767,AR.03,Chaco
1397239,MG.21,Upper Matsiatra
1428979,VN.30,Quang Ninh
1429562,MZ.06,Nampula
1462043,LY.72,Misratah
1464522,PR.025,Caguas
1494078,CU.07,Ciego de Avila
1495170,IQ.05,Sulaymaniyah
1497580,UZ.06,Namangan
1525614,NG.36,Delta
1539938,BO.02,Cochabamba
1550847,EC.13,Los Rios
1551347,YE.23,Ibb
1551711,TR.05,Amasya
1554156,PT.03,Beja
1558032,TZ.25,Zanzibar Urban/West
1567913,VN.43,Dong Nai
1582974,TW.03,Taipei
1595703,LR.17,Margibi
1596036,UZ.08,Qashqadaryo
1607198,VE.22,Yaracuy
1620351,SD.52,Kassala
1630055,PE.23,Tacna
1653016,DZ.35,Ain Defla
1654697,DZ.27,M'Sila
1679277,RU.87,Yamalo-Nenets
1694013,PR.013,Arecibo
1696006,AR.11,La Pampa
1696659,PH.10,Northern Mindanao
1699425,KE.44,Nyeri
1701401,LV.31,Valmiera
1730535,MW.N,Northern Region
1750565,TH.18,Loei
1755632,BB.08,Saint Michael
1764471,LI.11,Vaduz
1767047,LC.10,Vieux-Fort
1789359,KW.08,Hawalli
1795637,MV.38,Kaafu Atoll
1797075,PE.12,Junin
1798237,TT.TUP,Tunapuna/Piarco
1805254,TR.13,Bitlis
1849766,AR.23,Tierra del Fuego
1866662,TH.73,Nakhon Phanom
1891390,QA.06,Baladiyat ar Rayyan
1893276,PE.20,Piura
1899533,IS.41,Northwest
1910223,HR.13,Sibensko-Kniniska
1916224,UA.06,Ivano-Frankivsk
1918288,CZ.81,Karlovarsky kraj
1918376,SD.43,Northern State
1923365,CO.17,La Guajira
1955529,AZ.08,Astara
1955577,CH.SZ,Schwyz
1959884,PE.03,Apurimac
1961002,MK.E8,Tetovo
1973394,KZ.14,Qyzylorda
1991774,SN.14,Saint-Louis
1993124,GE.66,Imereti
2073970,MZ.05,Sofala
2085610,BO.07,Potosi
2085634,BQ.BO,Bonaire
2088950,UZ.16,Sirdaryo
2101907,SI.A7,Rogaska Slatina
2122369,NG.41,Kogi
2138257,UZ.05,Xorazm
2141388,AL.51,Vlore
2161354,VN.79,Hai Duong
2163342,BA.02,Srpska
2169640,PG.12,Madang
2175689,BT.20,Thimphu
2187112,RO.01,Alba
2197109,LI.03,Gamprin
2215729,PE.24,Tumbes
2269220,PR.021,Bayamon
2291317,HR.16,Varazdinska
2293948,HN.06,Cortes
2296729,SI.F1,Zelezniki
2305918,PE.02,Ancash
2310536,TR.70,Hakkari
2312493,VN.09,Dong Thap
2315331,AZ.54,Sumqayit
2326204,LV.32,Ventspils
2390356,TJ.01,Gorno-Badakhshan
2415855,RU.89,Jewish Autonomous Oblast
2433807,NG.52,Bayelsa
2442123,IQ.16,Wasit
2451978,IQ.09,Dhi Qar
2460629,LV.16,Liepaja
2472382,IS.45,West
2477074,KY.10346796,George Town
2479128,PE.05,Ayacucho
2479301,ID.40,Riau Islands
2487617,KE.49,Tharaka District
2560510,RU.37,Kostroma Oblast
2621214,TT.01,Borough of Arima
2707211,SO.20,Woqooyi Galbeed
2709981,ET.48,Dire Dawa
2730058,HK.NTM,Tuen Mun
2802479,KZ.03,Aqmola
2953922,SI.40,Izola-Isola
2973144,HU.12,Komarom-Esztergom
2991589,GE.67,Kakheti
3003335,SI.L6,Sempeter-Vrtojba
3015608,GY.13,East Berbice-Corentyne
3017574,ST.02,Sao Tome Island
3020795,ZW.03,Mashonaland Central
3034674,SI.03,Bled
3040002,BM.03,Hamilton city
3047845,PG.10,East New Britain
3057449,IQ.03,Al Muthanna
3058613,TR.72,Mardin
3098518,SY.14,Tartus
3098731,NG.44,Yobe
3199202,KE.21,Kericho
3219235,IM.9782170,Douglas
3226705,KE.29,Laikipia
3234878,TR.62,Tunceli
3273161,MT.26,Il-Kalkara
3305118,SI.G7,Domzale
3356459,VN.58,Nghe An
3385914,KE.31,Machakos
3393532,SN.03,Diourbel
3427092,DZ.30,Sidi Bel Abbes
3427551,JM.12,St. James
3458647,AZ.61,Xankandi Sahari
3498726,BG.40,Dobrich
3564823,PH.41,Mimaropa
3577128,CO.11,Choco
3598045,PT.11,Guarda
3672038,HR.14,Sisacko-Moslavacka
3708970,LC.03,Castries
3761025,LS.16,Mokhotlong
3784862,KE.15,Embu
3785392,CO.23,Quindio
3931313,SE.02,Blekinge
3966365,BS.37,Central Abaco
3978794,EC.05,Carchi
4378584,TR.86,Ardahan
4501285,VE.11,Falcon
4784975,SI.09,Brezovica
4896210,MT.09,Il-Furjana
4901883,VE.12,Guarico
5062730,VN.24,Long An
5217861,OM.10,Al Buraimi
5234864,PE.15,Lima region
5234884,MZ.08,Tete
5428833,RO.34,Suceava
5468580,MM.05,Kayin
5638363,VN.74,Bac Ninh
5681173,SO.05,Galguduud
5782317,ZM.07,Southern
6031719,SI.94,Postojna
6118886,SE.12,Kronoberg
6189884,SA.15,Northern Borders
6223037,TH.37,Sara Buri
6598223,ID.21,Central Sulawesi
6646506,LY.80,Jabal al Gharbi
6893439,RU.27,Karachayevo-Cherkesiya Republic
6930376,VN.34,Thanh Hoa
6960049,VN.86,Vinh Phuc
7032266,TW.01,Fukien
7138311,DO.25,Santiago
7219094,EC.09,Esmeraldas
7379102,DZ.53,Tamanrasset
7494665,LA.17,Louangphabang
7525091,CH.OW,Obwalden
7530510,MG.41,Boeny
7603329,IS.44,Westfjords
7751660,KH.29,Battambang
7827828,SN.12,Ziguinchor
8022439,BD.87,Rangpur Division
8111125,SV.09,San Miguel
8209335,SI.C4,Slovenska Konjice
8213090,CV.14,Praia
8451448,PR.091,Manati
8860909,NE.07,Zinder
8928718,UY.18,Tacuarembo
8943709,PA.02,Chiriqui
9008987,VN.46,Binh Dinh
9017558,MD.60,Balti
9249621,HU.14,Nograd
9270761,RU.44,Magadan Oblast
9345619,SI.C9,Store
9566493,MP.110,Saipan
9912468,VN.81,Hung Yen
10215270,PE.22,San Martin
10381039,KE.19,Kajiado
10559447,VN.01,An Giang
10769301,BG.58,Sofia
10770530,LI.01,Balzers
10777637,SA.02,Al Bahah
10879355,VE.20,Tachira
10884693,MT.01,Attard
11538577,CU.05,Camaguey
12312224,BW.11,North-West
13186621,DZ.34,Adrar
13625361,MT.31,Il-Marsa
13741557,BW.10,Ngwaketsi
14317903,VN.21,Kien Giang
16192542,KZ.17,Zhambyl
17051183,SI.32,Grosuplje
17663241,FI.08,Kymenlaakso
19876838,SD.55,Northern Darfur
20115396,CR.03,Guanacaste
20134077,NZ.F4,Marlborough
20539323,LU.CA,Capellen
21061060,LT.64,Utena
22878108,SL.02,Northern Province
22883922,PR.141,Utuado
23385009,VC.04,Saint George
23707563,CV.11,Sao Vicente
23730404,KP.12,Pyongyang
24882981,KN.10,Saint Paul Charlestown
26226658,ET.45,Afar
26257515,DZ.39,Bordj Bou Arreridj
26439052,IQ.12,Muhafazat Karbala'
26589885,TL.DI,Dili
27775196,OM.04,Southeastern Governorate
28481499,PY.13,Neembucu
29615886,IQ.13,Kirkuk
29721781,ZW.01,Manicaland
30580193,KH.24,Siem Reap
30662452,PH.02,Cagayan Valley
31159541,SI.M8,Trzin
31383175,SI.98,Race-Fram
31466761,VN.13,Haiphong
31810694,VN.45,Ba Ria-Vung Tau
33300010,PR.069,Humacao
33766122,CU.10,Guantanamo
34193936,MT.30,Luqa
35056694,CO.10,Cesar
35407182,EC.07,Cotopaxi
36005430,NI.17,North Caribbean Coast
40922846,MT.60,Il-Belt Valletta
41252148,HU.20,Jasz-Nagykun-Szolnok
41828577,SD.49,Southern Darfur
41879926,TH.14,Phetchabun
41946836,PH.09,Zamboanga Peninsula
42186398,NG.55,Gombe
42207683,CD.04,Kasai-Oriental
42237639,SY.07,Deir ez-Zor
42503575,CD.08,Bas-Congo
42648503,SI.J9,Piran-Pirano
42696850,NG.24,Katsina
42856430,DZ.31,Skikda
43075418,MA.08,Draa-Tafilalet
43151159,SD.42,Blue Nile
43582471,BJ.17,Plateau
43635416,MM.13,Mon
43647200,DZ.29,Oum el Bouaghi
43960349,TH.44,Chachoengsao
44183408,MD.51,Gagauzia
44271044,LT.56,Alytus
44867516,TH.16,Nakhon Sawan
45411616,KE.24,Kirinyaga
45625177,DZ.15,Tlemcen
45749464,SI.K8,Ravne na Koroskem
46100666,LB.07,Nabatiye
46289990,LR.13,Maryland
46547763,BO.03,El Beni
46949563,TH.60,Surat Thani
47328232,HK.HWC,Wan Chai
47606735,TH.20,Sakon Nakhon
47608360,TO.02,Tongatapu
47742773,NE.04,Maradi
47778646,HN.04,Comayagua
48444620,SI.A3,Radovljica
49658709,CU.15,Santiago de Cuba
49720491,DM.05,Saint John
49885986,SI.E7,Zagorje ob Savi
49894231,SI.54,Krsko
50091456,CU.14,Sancti Spiritus
50097977,AF.18,Nangarhar
50253649,SZ.01,Hhohho
50479656,LT.59,Marijampole County
50785822,YE.11,Dhamar
50798852,SO.21,Awdal
51059253,VN.83,Phu Tho
51062486,AD.06,Sant Julia de Loria
51288978,SD.50,Southern Kordofan
51339853,SI.F2,Ziri
51413720,AL.42,Durres
51703338,DZ.41,Chlef
51739609,VN.62,Quang Binh
51955052,MG.33,Alaotra Mangoro
52036303,TH.23,Kalasin
52060556,SI.D4,Trebnje
52077188,VN.61,Phu Yen
52426669,PH.13,Caraga
53354852,AZ.35,Nakhichevan
53721923,OM.02,Al Batinah South
53788550,AZ.29,Lankaran
54129910,AL.46,Korce
54206569,HR.11,Pozesko-Slavonska
54421960,SY.04,Ar-Raqqah
54442034,DO.30,La Vega
54969338,DZ.22,Djelfa
55103585,JO.20,Ajlun
55109060,NG.40,Kebbi
55245614,GN.K,Kankan
55248480,PR.079,Lajas
55257264,DZ.06,Medea
56107685,MT.39,Paola
56119830,SI.B9,Skofja Loka
56475394,SB.06,Guadalcanal
56939442,IQ.14,Maysan
57358324,NZ.F1,Gisborne
57436747,GE.72,Samtskhe-Javakheti
57714415,SV.05,La Libertad
57744935,LV.11,Jelgava
57774361,DZ.56,Tissemsilt
57898964,NP.MR,Mid Western
58459974,GE.73,Shida Kartli
58502949,PE.09,Huancavelica
58513913,RW.13,Northern Province
58521449,AF.37,Khowst
58802009,SD.41,White Nile
59065428,KN.08,Saint Mary Cayon
59317801,ME.02,Bar
59501646,PE.17,Madre de Dios
59770075,BF.06,Centre-Ouest
59994137,BO.06,Pando
60096349,BG.38,Blagoevgrad
60193991,ID.29,North Maluku
60252111,LT.60,Panevezys
60542554,MM.03,Ayeyarwady
60586460,ID.34,Gorontalo
61134010,AF.11,Herat
61256976,TH.25,Roi Et
61291657,MU.12,Black River
61392163,EE.08,Laeaene-Virumaa
61528573,HN.18,Yoro
62391708,CD.23,Kasai-Central
62519995,RO.12,Caras-Severin
63062187,DZ.51,Relizane
63760091,PY.11,Itapua
64079756,ID.35,Bangka-Belitung Islands
66461445,NI.05,Esteli
66964203,SI.87,Ormoz
67190072,HR.17,Virovitick-Podravska
67221562,YE.08,Al Hudaydah
67274254,LU.WI,Wiltz
68212590,EE.21,Vorumaa
68810115,PE.01,Amazonas
69928234,LR.09,Nimba
69991308,HT.09,Nord
70247755,PE.19,Pasco
70517132,VN.35,Thai Binh
71160325,LV.A9,Priekuli
72289692,IQ.04,Al Qadisiyah
72712998,IQ.06,Babil
72851375,MT.35,Il-Mosta
72919214,SI.N8,Zuzemberk
73066810,SI.82,Naklo
73423860,MU.23,Rodrigues
73596466,SD.58,Sinnar
73818112,TH.10,Uttaradit
74002934,VN.32,Son La
74122520,DO.31,Monsenor Nouel
74243122,KH.18,Svay Rieng
74309899,HU.21,Tolna
75248557,PE.18,Moquegua
75571947,JO.22,Jerash
75641183,CD.10,Maniema
76062995,VN.63,Quang Ngai Province
76219784,SO.18,Nugaal
76482305,DZ.14,Tizi Ouzou
76850544,IQ.17,An Najaf
76873618,NI.12,Matagalpa
77575884,SD.53,River Nile
78063295,CY.03,Larnaka
78323656,PK.07,Gilgit-Baltistan
78812093,LV.C7,Sigulda
78913456,SI.N5,Zalec
79160013,GN.F,Faranah
79370071,SI.H3,Horjul
80225752,NG.39,Jigawa
80237735,AO.01,Benguela
80612454,LK.35,Uva
80629298,MM.04,Kachin
80749785,BY.05,Minsk
81037209,TH.26,Chaiyaphum
