row_number,geonames_admin1_code,geonames_admin1_ascii_name
1433,NG.50,Rivers
1451,CO.34,Bogota D.C.
1454,CO.35,Bolivar
1462,CL.01,Valparaiso
1464,ZA.02,KwaZulu-Natal
1467,GR.ESYE23,West Greece
1468,NG.47,Enugu
1469,JP.38,Tochigi
1472,IT.12,Piedmont
1475,BR.21,Rio de Janeiro
1480,ES.31,Murcia
1483,TR.79,Kirikkale
1486,GR.ESYE12,Central Macedonia
1488,TN.28,Madanin
1495,CZ.85,Moravskoslezsky
1505,RU.47,Moscow Oblast
1522,AT.07,Tyrol
1523,ZA.06,Gauteng
1524,HR.21,City of Zagreb
1526,NO.14,Rogaland
1535,JP.32,Osaka
1554,AT.04,Upper Austria
1567,JP.31,Okayama
1568,CN.12,Hubei
1570,DE.03,Bremen
1574,US.RI,Rhode Island
1586,MX.22,Queretaro
1587,VE.23,Zulia
1598,JO.09,Karak
1600,FR.32,Hauts-de-France
1604,KW.02,Al Asimah
1615,FI.02,Southwest Finland
1677,BI.24,Bujumbura Mairie
1695,BR.07,Federal District
1708,OM.06,Muscat
1740,KR.01,Jeju-do
1741,US.FL,Florida
1763,BG.42,Sofia-Capital
1846,JP.45,Yamaguchi
1851,SE.26,Stockholm
1857,LT.65,Vilnius
1858,US.OH,Ohio
1861,GB.NIR,Northern Ireland
1894,RO.13,Cluj
1895,CI.93,Abidjan
1896,PL.78,Mazovia
1909,MX.26,Sonora
1915,UG.W,Western Region
1921,PT.02,Aveiro
1923,BG.51,Plovdiv
1924,IT.20,Veneto
1925,IT.10,The Marches
1945,BR.30,Pernambuco
1946,FI.17,Northern Ostrobothnia
1947,ES.07,Balearic Islands
1950,MY.07,Perak
2010,GA.01,Estuaire
2036,BR.11,Mato Grosso do Sul
2041,IT.13,Apulia
2045,EC.01,Galapagos
2058,RU.91,Krasnoyarskiy
2076,NO.21,Trondelag
2087,CZ.84,Olomoucky
2095,US.OR,Oregon
2124,US.NE,Nebraska
2129,TR.20,Denizli
2186,US.IA,Iowa
2188,AR.24,Tucuman
2212,SN.01,Dakar
2225,MY.03,Kelantan
2226,US.VT,Vermont
2262,MX.02,Baja California
2268,US.NM,New Mexico
2271,MX.21,Puebla
2286,TR.14,Bolu
2287,US.DE,Delaware
2289,IN.35,Madhya Pradesh
2307,PH.NCR,Metro Manila
2312,AT.06,Styria
2313,SE.23,Vaesterbotten
2347,US.ME,Maine
2349,CN.24,Shanxi
2356,FI.06,Pirkanmaa
2364,MG.11,Analamanga
2379,ME.16,Podgorica
2380,DE.08,Rheinland-Pfalz
2411,JP.12,Hokkaido
2421,CU.02,Havana
2440,MA.06,Casablanca-Settat
2443,ES.54,Castille-La Mancha
2446,HU.06,Csongrad
2460,IR.08,Gilan
2471,RU.61,Rostov
2477,HU.16,Pest
2480,IN.12,Jammu and Kashmir
2502,FI.13,Central Finland
2513,DZ.01,Algiers
2531,RS.SE,Central Serbia
2536,IR.33,East Azerbaijan
2541,SV.10,San Salvador
2549,CM.09,South-West
2556,US.MS,Mississippi
2557,PL.72,Lower Silesia
2559,AU.06,Tasmania
2561,PT.17,Porto
2574,ES.52,Aragon
2577,KR.19,Daejeon
2585,SE.27,Skane
2589,MA.04,Rabat-Sale-Kenitra
2608,UA.07,Kharkiv
2616,TJ.04,Dushanbe
2624,NO.07,Hordaland
2644,TR.58,Sivas
2665,BR.29,Goias
2669,US.MN,Minnesota
2684,MA.09,Souss-Massa
2690,AZ.09,Baki
2696,DE.12,Mecklenburg-Vorpommern
2697,US.UT,Utah
2699,GR.ESYE11,East Macedonia and Thrace
2730,ES.39,Cantabria
2732,AT.05,Salzburg
2738,SA.14,Makkah
2739,PT.14,Lisbon
2740,CH.BS,Basel-City
2742,KR.11,Seoul
2743,CA.04,New Brunswick
2746,EC.18,Pichincha
2753,JP.15,Ishikawa
2757,AU.05,South Australia
2768,CL.07,Coquimbo Region
2783,KZ.02,Almaty
2801,IN.23,Punjab
2802,RU.40,Kurgan Oblast
2807,RO.23,Iasi
2818,PK.08,Islamabad
2848,EG.11,Cairo
2857,NZ.F7,Otago
2889,IN.28,West Bengal
2890,TZ.23,Dar es Salaam
2909,FR.44,Grand Est
2930,AU.03,Northern Territory
2935,DZ.37,Annaba
2936,TR.38,Kayseri
2941,TR.23,Elazig
2949,TR.33,Isparta
2955,TR.63,Sanliurfa
2957,IL.03,Northern District
2977,HU.05,Budapest
2979,BG.41,Gabrovo
2984,MD.57,Chisinau Municipality
2985,MX.31,Yucatan
3001,RU.84,Volgograd Oblast
3019,NP.CR,Central Region
3027,NZ.E9,Canterbury
3064,PL.75,Lublin
3070,IT.15,Sicily
3077,LK.36,Western
3081,IR.07,Fars
3122,IN.36,Uttar Pradesh
3126,JP.11,Hiroshima
3158,TR.07,Antalya
3176,TW.04,Taiwan
3205,DK.18,Central Jutland
3208,MA.07,Marrakesh-Safi
3209,TR.55,Samsun
3210,TR.74,Siirt
3219,BR.05,Bahia
3244,JP.37,Shizuoka
3257,IN.02,Andhra Pradesh
3262,MX.05,Chiapas
3266,US.NH,New Hampshire
3284,MX.19,Nuevo Leon
3340,TR.09,Aydin
3348,FI.05,Kanta-Hame
3381,RU.67,Saratovskaya Oblast
3390,CN.32,Sichuan
3404,NO.18,Troms
3408,AU.04,Queensland
3410,MN.20,Ulaanbaatar
3422,GR.ESYE43,Crete
3461,TH.34,Lop Buri
3479,IE.C,Connaught
3483,DE.11,Brandenburg
3496,NZ.E7,Auckland
3511,UG.E,Eastern Region
3518,NZ.G1,Waikato
3520,RU.12,Chechnya
3525,CO.29,Valle del Cauca
3533,LV.25,Riga
3534,LT.57,Kaunas
3548,ES.34,Asturias
3549,JP.47,Okinawa
3557,US.SD,South Dakota
3564,TH.22,Khon Kaen
3570,MX.28,Tamaulipas
3578,JP.04,Chiba
3598,TH.38,Nonthaburi
3622,DK.20,Zealand
3645,BH.16,Manama
3660,AS.010,Eastern District
3678,RU.42,Leningradskaya Oblast'
3690,LK.29,Central
3699,KE.05,Nairobi Area
3715,MX.06,Chihuahua
3749,TN.36,Tunis
3762,CN.09,Henan
3775,IN.18,Meghalaya
3781,JP.18,Kagoshima
3787,IN.39,Uttarakhand
3869,NO.04,Buskerud
3873,SY.09,Aleppo
3881,BR.08,Espirito Santo
3883,SI.61,Ljubljana
3887,IS.39,Capital Region
3906,IN.13,Kerala
3924,NG.53,Ebonyi
3928,PK.05,Sindh
3951,IT.14,Sardinia
4017,IR.35,Mazandaran
4020,AR.15,Neuquen
4023,AR.13,Mendoza
4036,VE.25,Distrito Federal
4037,MX.14,Jalisco
4039,BR.14,Mato Grosso
4092,EG.05,Gharbia
4095,JP.44,Yamagata
4098,NG.51,Sokoto
4112,US.ND,North Dakota
4185,TR.41,Kocaeli
4214,DZ.26,Mascara
4255,PE.LMA,Lima
4275,IN.09,Gujarat
4281,NO.01,Akershus
4282,JP.14,Ibaraki
4287,CA.03,Manitoba
4394,MY.04,Melaka
4397,CM.11,Centre
4398,EG.06,Alexandria
4435,CN.08,Heilongjiang
4450,RU.92,Kamchatka
4536,ID.26,North Sumatra
4903,SA.06,Eastern Province
4918,ET.44,Addis Ababa
4964,EG.23,Qena
4997,BR.17,Paraiba
5048,FR.27,Bourgogne-Franche-Comte
5063,CN.19,Liaoning
5064,JP.03,Aomori
5096,CN.03,Jiangxi
5105,TR.71,Konya
5119,TR.22,Edirne
5133,NG.49,Plateau
5230,EG.01,Dakahlia
5234,RU.43,Lipetsk Oblast
5239,MX.30,Veracruz
5265,IQ.15,Nineveh
5277,BR.28,Sergipe
5279,NO.19,Vest-Agder
5306,CH.AG,Aargau
5320,PL.87,West Pomerania
5406,RU.70,Stavropol' Kray
5407,CA.11,Saskatchewan
5429,BR.26,Santa Catarina
5431,CL.17,Los Rios Region
5466,XK.10097360,Pristina
5468,JO.16,Amman
5480,RU.51,Nizhny Novgorod Oblast
5485,PH.40,Calabarzon
5523,ID.01,Aceh
5527,IN.24,Rajasthan
5538,HU.02,Baranya
5540,VN.20,Ho Chi Minh
5565,PK.04,Punjab
5572,IN.11,Himachal Pradesh
5619,BJ.14,Littoral
5626,GR.ESYE42,South Aegean
5647,KR.10,Busan
5649,KR.03,Jeollabuk-do
5656,SY.11,Homs
5657,ZW.10,Harare
5740,TR.21,Diyarbakir
5749,BR.22,Rio Grande do Norte
5750,RW.15,Southern Province
5785,JO.15,Mafraq
5811,TR.16,Bursa
5813,SI.P9,Ankaran
5815,TN.19,Nabul
5819,CN.15,Gansu
5861,US.ID,Idaho
5865,PT.08,Evora
5873,BA.01,Federation of B&H
5880,PH.07,Central Visayas
5897,JP.29,Niigata
5929,CA.07,Nova Scotia
5976,NG.32,Oyo
5987,ID.08,East Java
6030,PR.127,San Juan
6098,CO.37,Caldas
6100,CO.02,Antioquia
6111,RU.86,Voronezj
6147,PT.07,Coimbra
6218,CH.JU,Jura
6422,UA.17,Odesa
6449,CM.10,Adamaoua
6470,JP.41,Tottori
6472,RU.83,Vladimir
6478,NG.27,Borno
6508,GN.04,Conakry
6536,PA.08,Panama
6551,TN.32,Safaqis
6594,KR.20,Gyeongsangnam-do
6641,SE.14,Norrbotten
6642,SE.06,Halland
6651,GH.01,Greater Accra
6715,US.OK,Oklahoma
6719,JP.20,Kochi
6799,JO.18,Irbid
6808,PE.08,Cusco
6825,RU.65,Samara Oblast
6864,JP.24,Miyagi
6882,JP.42,Toyama
6918,IN.03,Assam
6975,KE.52,Uasin Gishu
7054,IR.40,Yazd
7070,IR.03,Chaharmahal and Bakhtiari
7077,UG.C,Central Region
7093,BG.61,Varna
7099,TR.25,Erzurum
7186,HU.10,Hajdu-Bihar
7187,MX.15,State of Mexico
7210,CN.18,Guizhou
7229,RU.71,Sverdlovsk
7264,VI.010,Saint Croix Island
7268,US.WY,Wyoming
7269,NG.23,Kaduna
7356,IR.42,Razavi Khorasan
7421,NG.35,Adamawa
7442,RU.23,Kaliningrad
7511,BR.04,Amazonas
7520,KR.15,Daegu
7525,RU.80,Udmurtiya Republic
7619,EG.17,Asyut
7630,DZ.40,Boumerdes
7675,LA.24,Vientiane Prefecture
7704,SK.01,Banskobystricky kraj
7722,BD.84,Chittagong
7751,EE.18,Tartu
7800,BY.01,Brest
7804,CH.TI,Ticino
7808,SI.52,Kranj
8056,MX.11,Guanajuato
8159,MX.07,Coahuila
8298,BR.13,Maranhao
8387,RU.75,Tomsk Oblast
8394,LU.ES,Esch-sur-Alzette
8422,TG.24,Maritime
8463,UA.03,Chernivtsi Oblast'
8525,RU.22,Kabardino-Balkariya Republic
8540,TR.10,Balikesir
8635,TN.38,Ariana
8710,JP.35,Shiga
8735,UA.05,Donetsk
8791,PL.81,Podlasie
8858,PK.03,Khyber Pakhtunkhwa
8887,CA.05,Newfoundland and Labrador
8951,MU.15,Moka
9065,BG.59,Stara Zagora
9070,TR.17,Canakkale
9078,NP.ER,Eastern Region
9103,IT.17,Trentino-Alto Adige
9181,IR.15,Khuzestan
9184,IR.13,Kermanshah
9223,CO.26,Santander
9387,KG.01,Bishkek
9409,RO.43,Ilfov
9531,IR.36,Zanjan
9642,CN.29,Yunnan
9644,UA.21,Sumy
9649,SI.J2,Maribor
9668,IL.WE,Judea and Samaria Area
9703,IT.08,Liguria
9711,UA.19,Rivne
9712,RU.05,Amur Oblast
9740,MX.10,Durango
9750,IR.29,Kerman
9879,ZA.03,Free State
9995,NZ.F5,Nelson
9997,MX.03,Baja California Sur
9999,MY.09,Penang
10004,ZA.05,Eastern Cape
10015,TR.54,Sakarya
10016,RU.04,Altai Krai
10022,ID.38,South Sulawesi
10093,BG.62,Veliko Tarnovo
10102,AR.19,San Luis
10108,SE.15,OErebro
10113,CY.04,Nicosia
10164,NO.09,Nordland
10199,ET.46,Amhara
10287,JP.05,Ehime
10344,NG.31,Niger
10363,CH.NE,Neuchatel
10367,MX.17,Morelos
10390,TH.64,Nakhon Si Thammarat
10426,BG.54,Shumen
10472,ID.10,Yogyakarta
10489,MX.25,Sinaloa
10526,TZ.26,Arusha
10595,RU.11,Buryatiya Republic
10607,BD.83,Rajshahi Division
10611,IT.01,Abruzzo
10617,CZ.86,Pardubicky
10706,GM.01,Banjul
10763,BF.03,Centre
10846,MW.C,Central Region
10881,IR.28,Isfahan
11027,JP.23,Mie
11034,TR.32,Mersin
11044,CD.06,Kinshasa
11051,IN.37,Chhattisgarh
11099,BR.02,Alagoas
11164,RU.25,Kaluga
11182,MW.S,Southern Region
11285,SN.07,Thies
11290,RU.63,Sakha
11338,JP.26,Nagano
11361,BR.06,Ceara
11437,BO.05,Oruro
11440,CN.10,Hebei
11572,MA.03,Fes-Meknes
11595,JP.43,Wakayama
11603,KR.13,Gyeonggi-do
11626,CD.12,South Kivu
11761,ES.27,La Rioja
11828,EG.07,Ismailia
11839,IN.10,Haryana
11860,LU.LU,Luxembourg
11882,CU.01,Pinar del Rio
11963,BZ.01,Belize
12043,PL.84,Swietokrzyskie
12050,JP.09,Gifu
12051,GH.02,Ashanti
12070,ID.07,Central Java
12077,AR.18,San Juan
12319,TH.75,Changwat Ubon Ratchathani
12391,PL.73,Kujawsko-Pomorskie
12435,IN.30,Arunachal Pradesh
12436,TR.61,Trabzon
12492,EE.11,Paernumaa
12508,TZ.10,Morogoro
12543,BO.04,La Paz
12633,PS.WE,West Bank
12705,MK.41,Karposh
12730,TH.36,Phra Nakhon Si Ayutthaya
12741,BW.14,Gaborone
12942,EE.01,Harjumaa
13013,RO.14,Constanta
13027,FI.15,Ostrobothnia
13060,RU.72,Tambov
13260,KR.05,North Chungcheong
13340,CZ.90,Zlin
13361,EG.14,Sharqia
13364,IE.M,Munster
13399,ID.14,East Kalimantan
13647,NE.08,Niamey
13657,NC.02,South Province
13705,NG.46,Bauchi
13736,JP.25,Miyazaki
13863,ZM.09,Lusaka
13916,TN.23,Susah
13950,LY.68,Az Zawiyah
14060,KZ.05,Nur-Sultan
14120,RU.41,Kursk
14419,SA.17,Jizan
14424,EG.18,Beni Suweif
14437,RU.85,Vologda
14512,MY.16,Sabah
14543,CZ.88,Central Bohemia
14656,UA.26,Zaporizhia
14682,VN.66,Thua Thien-Hue
14771,JP.21,Kumamoto
14863,TR.48,Mugla
15013,MX.24,San Luis Potosi
15067,IQ.07,Baghdad
15071,JP.36,Shimane
15127,EG.10,Minya
15129,PT.04,Braga
15139,KR.17,Chungcheongnam-do
15157,MX.08,Colima
15176,US.MT,Montana
15372,PY.06,Central
15381,VE.13,Lara
15431,RU.81,Ulyanovsk
15473,RU.17,Dagestan
15546,RE.RE,Reunion
15586,MX.18,Nayarit
15711,PR.113,Ponce
15823,SK.07,Trnavsky kraj
15929,VN.44,Hanoi
16101,GR.ESYE41,North Aegean
16160,CN.16,Guangxi
16165,ID.12,South Kalimantan
16308,TH.12,Phitsanulok
16803,AR.08,Entre Rios
16825,JO.17,Zarqa
16950,MT.23,L-Imsida
17030,JP.08,Fukushima
17055,DZ.19,Biskra
17252,CN.13,Xinjiang
17300,DK.19,North Denmark
17303,CY.01,Ammochostos
17407,CN.33,Chongqing
17577,CD.11,Nord Kivu
17642,CZ.79,Jihocesky kraj
17672,TR.73,Nigde
