row_number,nmr_typology,continent_name,country_name,geonames_admin1_ascii_name,n_years_in_typology,n_years,y_pop_INT
991,INT rec. IN sen.,North America,United States,Hawaii,10,25,2425
992,Mixed,Asia,Türkiye,Hakkari,10,12,1
993,Both balanced,North America,Honduras,Cortes,10,10,2
994,Mixed,North America,Martinique,Martinique,10,18,7
995,Both balanced,North America,Cuba,Sancti Spiritus,10,13,2
996,Net sender,Europe,Poland,Lodz Voivodeship,10,25,1208
997,Both balanced,Asia,Viet Nam,Dong Thap,10,15,16
998,Both balanced,South America,Ecuador,Chimborazo,10,21,156
999,Mixed,Asia,Sri Lanka,Southern,10,25,16
1000,Mixed,South America,Argentina,Jujuy,10,25,1
1001,Net sender,Asia,Hong Kong,Central and Western,10,25,6762
1002,Mixed,South America,Argentina,Corrientes,10,25,81
1003,INT rec. IN sen.,North America,United States,West Virginia,10,25,2384
1004,IN rec. INT sen.,Europe,Slovenia,Maribor,10,25,595
1005,Net receiver,Africa,Ghana,Greater Accra,10,25,973
1006,Net receiver,Asia,Pakistan,Punjab,10,25,1816
1007,IN rec. INT sen.,Asia,"Iran, Islamic Republic of",Zanjan,10,25,243
1008,Mixed,Africa,Ghana,Ashanti,10,25,1085
1009,Both balanced,Europe,North Macedonia,Bitola,10,14,1
1010,Net receiver,Asia,"Iran, Islamic Republic of",Golestan,10,21,201
1011,Mixed,South America,Ecuador,Loja,10,18,214
1012,Mixed,Asia,"Iran, Islamic Republic of",Qom,10,18,324
1013,Net receiver,Asia,Viet Nam,Ho Chi Minh,10,25,3119
1014,Mixed,Asia,Philippines,Calabarzon,10,25,208
1015,Mixed,Africa,Ghana,Central,10,25,190
1016,INT rec. IN sen.,Asia,Türkiye,Erzurum,10,25,260
1017,Mixed,Europe,Greece,Peloponnese,10,21,115
1018,Mixed,Europe,Lithuania,Klaipeda County,10,25,159
1019,Net receiver,North America,Canada,Alberta,10,25,14219
1020,Mixed,Asia,Türkiye,Erzincan,10,15,28
1021,Both balanced,Asia,Philippines,Davao,10,22,8
1022,IN rec. INT sen.,North America,Canada,British Columbia,10,25,13464
1023,IN rec. INT sen.,Africa,Egypt,Cairo,10,25,1150
1024,Both balanced,South America,Colombia,Bolivar,10,25,77
1025,Mixed,Asia,Türkiye,Elazig,10,25,637
1026,Both balanced,South America,Peru,Madre de Dios,10,10,7
1027,Both balanced,Asia,Viet Nam,Son La,10,12,1
1028,Both balanced,Europe,Albania,Korce,10,11,1
1029,Mixed,Europe,Greece,Ionian Islands,10,20,5
1030,Both balanced,South America,Suriname,Paramaribo,10,16,32
1031,Mixed,Asia,Türkiye,Zonguldak,10,25,17
1032,Mixed,Europe,Greece,West Macedonia,10,17,115
1033,IN rec. INT sen.,North America,Canada,Nova Scotia,10,25,2601
1034,INT rec. IN sen.,Europe,Greece,Central Macedonia,10,25,2689
1035,Both balanced,Africa,Ghana,Upper East,10,24,51
1036,Net receiver,Asia,Thailand,Chiang Rai,10,19,29
1037,Net sender,Europe,Italy,Abruzzo,10,25,968
1038,Mixed,Asia,Türkiye,Corum,10,17,43
